year,state_po,check,official,ours,diff,rel,n_counties,status
2012,SD,state_total,363815,363815,0,0,66,ok (<0.05%)
2012,TN,state_total,2458577,2458577,0,0,95,ok (<0.05%)
2012,TX,state_total,7993851,7993851,0,0,254,ok (<0.05%)
2012,UT,state_total,1017440,1017440,0,0,29,ok (<0.05%)
2012,VT,state_total,299290,299290,0,0,14,ok (<0.05%)
2012,VA,state_total,3854489,3854489,0,0,134,ok (<0.05%)
2012,WA,state_total,3125516,3125516,0,0,39,ok (<0.05%)
2012,WV,state_total,670438,670440,2,2.983124464902049e-6,55,ok (<0.05%)
2012,WI,state_total,3068434,3071434,3000,9.776974182921973e-4,72,small (<0.5%)
2012,WY,state_total,249061,249061,0,0,23,ok (<0.05%)
2016,AL,state_total,2123372,2123367,-5,-2.3547451883136822e-6,67,ok (<0.05%)
2016,AZ,state_total,2573165,2604277,31112,0.012090946363719388,15,check (0.5-2%)
2016,AR,state_total,1130676,1129896,-780,-6.898527960264479e-4,75,small (<0.5%)
2016,CA,state_total,14181604,14181595,-9,-6.346249690796612e-7,58,ok (<0.05%)
2016,CO,state_total,2780247,2780220,-27,-9.711367371316289e-6,64,ok (<0.05%)
2016,CT,state_total,1644920,1644920,0,0,8,ok (<0.05%)
2016,DE,state_total,443814,442997,-817,-0.001840861261699721,3,small (<0.5%)
2016,FL,state_total,9420039,9420039,0,0,67,ok (<0.05%)
2016,GA,state_total,4114732,4114711,-21,-5.10361306641599e-6,159,ok (<0.05%)
2016,ID,state_total,690255,690433,178,2.5787571259896705e-4,44,ok (<0.05%)
2016,IL,state_total,5536424,5558707,22283,0.004024800123689948,102,small (<0.5%)
2016,IN,state_total,2734958,2734958,0,0,92,ok (<0.05%)
2016,IA,state_total,1566031,1566031,0,0,99,ok (<0.05%)
2016,KS,state_total,1184402,1184403,1,8.443079292334866e-7,105,ok (<0.05%)
2016,KY,state_total,1924149,1924149,0,0,120,ok (<0.05%)
2016,LA,state_total,2029032,2029032,0,0,64,ok (<0.05%)
2016,ME,state_total,747927,743941,-3986,-0.005329397120307196,16,check (0.5-2%)
2016,MD,state_total,2781446,2781446,0,0,24,ok (<0.05%)
2016,MA,state_total,3325046,3274555,-50491,-0.015185053078964922,14,check (0.5-2%)
2016,MI,state_total,4799284,4799284,0,0,83,ok (<0.05%)
2016,MN,state_total,2944813,2944813,0,0,87,ok (<0.05%)
2016,MS,state_total,1209357,1209357,0,0,82,ok (<0.05%)
2016,MO,state_total,2808605,2807381,-1224,-4.358035394795637e-4,116,ok (<0.05%)
2016,MT,state_total,497147,497147,0,0,56,ok (<0.05%)
2016,NE,state_total,844227,844227,0,0,93,ok (<0.05%)
2016,NV,state_total,1125385,1125385,0,0,17,ok (<0.05%)
2016,NH,state_total,744296,744296,0,0,10,ok (<0.05%)
2016,NJ,state_total,3874046,3874046,0,0,21,ok (<0.05%)
2016,NM,state_total,798319,798319,0,0,33,ok (<0.05%)
2016,NY,state_total,7721442,7707363,-14079,-0.001823364081475973,62,small (<0.5%)
2016,NC,state_total,4741564,4741564,0,0,100,ok (<0.05%)
2016,ND,state_total,344360,344360,0,0,53,ok (<0.05%)
2016,OH,state_total,5496487,5496487,0,0,88,ok (<0.05%)
2016,OK,state_total,1452992,1452992,0,0,77,ok (<0.05%)
2016,OR,state_total,2001336,2001336,0,0,36,ok (<0.05%)
2016,PA,state_total,6165478,6115402,-50076,-0.008121998002425765,67,check (0.5-2%)
2016,RI,state_total,464144,463416,-728,-0.0015684787479747664,5,small (<0.5%)
2016,SC,state_total,2103027,2103027,0,0,46,ok (<0.05%)
2016,SD,state_total,370093,370093,0,0,66,ok (<0.05%)
2016,TN,state_total,2508027,2508027,0,0,95,ok (<0.05%)
2016,TX,state_total,8969226,8969226,0,0,254,ok (<0.05%)
2016,UT,state_total,1131430,1131430,0,0,29,ok (<0.05%)
2016,VT,state_total,315067,315077,10,3.173928085137447e-5,14,ok (<0.05%)
2016,VA,state_total,3984631,3984631,0,0,133,ok (<0.05%)
2016,WA,state_total,3317019,3209214,-107805,-0.03250056752765058,39,BAD (>=2%)
2016,WV,state_total,714423,713051,-1372,-0.0019204308931823303,55,small (<0.5%)
2016,WI,state_total,2976150,2975753,-397,-1.333938141558725e-4,72,ok (<0.05%)
2016,WY,state_total,255849,255849,0,0,23,ok (<0.05%)
2020,AL,state_total,2323282,2323282,0,0,67,ok (<0.05%)
2020,AZ,state_total,3387326,3385294,-2032,-5.998832117133101e-4,15,small (<0.5%)
2020,AR,state_total,1219069,1219069,0,0,75,ok (<0.05%)
2020,CA,state_total,17501380,17500881,-499,-2.851203733648432e-5,58,ok (<0.05%)
2020,CO,state_total,3256980,3256980,0,0,64,ok (<0.05%)
2020,CT,state_total,1823857,1823857,0,0,8,ok (<0.05%)
2020,DE,state_total,504346,504010,-336,-6.662093086888763e-4,3,small (<0.5%)
2020,FL,state_total,11067456,11067456,0,0,67,ok (<0.05%)
2020,GA,state_total,4999960,4998482,-1478,-2.9560236481891857e-4,159,ok (<0.05%)
2020,ID,state_total,867934,867361,-573,-6.601884475086815e-4,44,small (<0.5%)
2020,IL,state_total,6033744,6033744,0,0,102,ok (<0.05%)
2020,IN,state_total,3033210,3033121,-89,-2.9341852361030063e-5,92,ok (<0.05%)
2020,IA,state_total,1690871,1690871,0,0,99,ok (<0.05%)
2020,KS,state_total,1373986,1372303,-1683,-0.0012249033105140809,105,small (<0.5%)
2020,KY,state_total,2136768,2134996,-1772,-8.292898433522029e-4,120,small (<0.5%)
2020,LA,state_total,2148062,2148062,0,0,64,ok (<0.05%)
2020,ME,state_total,819461,822534,3073,0.003750025931679482,16,small (<0.5%)
2020,MD,state_total,3037030,3037031,1,3.292690556234216e-7,24,ok (<0.05%)
2020,MA,state_total,3631402,3658005,26603,0.00732582071607605,14,check (0.5-2%)
2020,MI,state_total,5539302,5539302,0,0,83,ok (<0.05%)
2020,MN,state_total,3277171,3277171,0,0,87,ok (<0.05%)
2020,MS,state_total,1313759,1313759,0,0,82,ok (<0.05%)
2020,MO,state_total,3025962,3025962,0,0,116,ok (<0.05%)
2020,MT,state_total,603674,603640,-34,-5.6321789575168056e-5,56,ok (<0.05%)
2020,NE,state_total,956383,951712,-4671,-0.004884026587674603,93,small (<0.5%)
2020,NV,state_total,1405376,1404911,-465,-3.3087230748212577e-4,17,ok (<0.05%)
2020,NH,state_total,806205,803833,-2372,-0.002942179718557935,10,small (<0.5%)
2020,NJ,state_total,4549457,4549353,-104,-2.2859870969216765e-5,21,ok (<0.05%)
2020,NM,state_total,923965,923965,0,0,33,ok (<0.05%)
2020,NY,state_total,8616861,8661735,44874,0.0052076968631616545,62,check (0.5-2%)
2020,NC,state_total,5524804,5524802,-2,-3.6200379235172866e-7,100,ok (<0.05%)
2020,ND,state_total,362024,361819,-205,-5.662608003889245e-4,53,small (<0.5%)
2020,OH,state_total,5922202,5922202,0,0,88,ok (<0.05%)
2020,OK,state_total,1560699,1560699,0,0,77,ok (<0.05%)
2020,OR,state_total,2374321,2374321,0,0,36,ok (<0.05%)
2020,PA,state_total,6936976,6915283,-21693,-0.003127155117734298,67,small (<0.5%)
2020,RI,state_total,517757,516383,-1374,-0.002653754560537086,5,small (<0.5%)
2020,SC,state_total,2513329,2513329,0,0,46,ok (<0.05%)
2020,SD,state_total,422609,422609,0,0,66,ok (<0.05%)
2020,TN,state_total,3053851,3053851,0,0,95,ok (<0.05%)
2020,TX,state_total,11315056,11315056,0,0,254,ok (<0.05%)
2020,UT,state_total,1488289,1495354,7065,0.004747061894564832,29,small (<0.5%)
2020,VT,state_total,367428,370826,3398,0.00924807037024941,14,check (0.5-2%)
2020,VA,state_total,4460524,4462600,2076,4.654161708355341e-4,133,ok (<0.05%)
2020,WA,state_total,4087631,4087631,0,0,39,ok (<0.05%)
2020,WV,state_total,794731,794652,-79,-9.940470423325629e-5,55,ok (<0.05%)
2020,WI,state_total,3298041,3297352,-689,-2.0891189648642935e-4,72,ok (<0.05%)
2020,WY,state_total,276765,278503,1738,0.006279695770780265,23,check (0.5-2%)
2024,AL,state_total,2265090,2264972,-118,-5.209506024043195e-5,67,ok (<0.05%)
2024,AZ,state_total,3390161,3400986,10825,0.0031930636922553237,15,small (<0.5%)
2024,AR,state_total,1182676,1182676,0,0,75,ok (<0.05%)
2024,CA,state_total,15865475,15862678,-2797,-1.762947532298907e-4,58,ok (<0.05%)
2024,CO,state_total,3192745,3190873,-1872,-5.863293185017908e-4,64,small (<0.5%)
2024,CT,state_total,1759010,1759010,0,0,8,ok (<0.05%)
2024,DE,state_total,512912,511697,-1215,-0.0023688274011916272,3,small (<0.5%)
2024,FL,state_total,10893752,10893752,0,0,67,ok (<0.05%)
2024,GA,state_total,5250905,5250047,-858,-1.6340040431125682e-4,159,ok (<0.05%)
2024,ID,state_total,905057,905057,0,0,44,ok (<0.05%)
2024,IL,state_total,5633310,5633310,0,0,102,ok (<0.05%)
2024,IN,state_total,2936677,2936677,0,0,92,ok (<0.05%)
2024,IA,state_total,1663506,1663506,0,0,99,ok (<0.05%)
2024,KS,state_total,1327591,1327591,0,0,105,ok (<0.05%)
2024,KY,state_total,2074530,2074530,0,0,120,ok (<0.05%)
2024,LA,state_total,2006975,2006975,0,0,64,ok (<0.05%)
2024,ME,state_total,831375,824806,-6569,-0.00790136821530597,16,check (0.5-2%)
2024,MD,state_total,3038334,3038334,0,0,24,ok (<0.05%)
2024,MA,state_total,3473668,3473668,0,0,14,ok (<0.05%)
2024,MI,state_total,5664186,5664186,0,0,83,ok (<0.05%)
2024,MN,state_total,3253920,3253920,0,0,87,ok (<0.05%)
2024,MS,state_total,1228008,1228008,0,0,82,ok (<0.05%)
2024,MO,state_total,2995327,2995327,0,0,116,ok (<0.05%)
2024,MT,state_total,602990,602963,-27,-4.477686197117697e-5,56,ok (<0.05%)
2024,NE,state_total,952182,947159,-5023,-0.0052752520001428296,93,check (0.5-2%)
2024,NV,state_total,1484840,1484840,0,0,17,ok (<0.05%)
2024,NH,state_total,826189,826189,0,0,10,ok (<0.05%)
2024,NJ,state_total,4272725,4272725,0,0,21,ok (<0.05%)
2024,NM,state_total,923403,923362,-41,-4.4400982019768185e-5,33,ok (<0.05%)
2024,NY,state_total,8262495,8262495,0,0,62,ok (<0.05%)
2024,NC,state_total,5699141,5699141,0,0,100,ok (<0.05%)
2024,ND,state_total,368155,368155,0,0,53,ok (<0.05%)
2024,OH,state_total,5767788,5767788,0,0,88,ok (<0.05%)
2024,OK,state_total,1566173,1566173,0,0,77,ok (<0.05%)
2024,OR,state_total,2244493,2244493,0,0,36,ok (<0.05%)
2024,PA,state_total,7058732,7034206,-24526,-0.0034745617201503045,67,small (<0.5%)
2024,RI,state_total,513386,511816,-1570,-0.003058127802472214,5,small (<0.5%)
2024,SC,state_total,2548140,2548140,0,0,46,ok (<0.05%)
2024,SD,state_total,428922,428922,0,0,66,ok (<0.05%)
2024,TN,state_total,3063942,3063942,0,0,95,ok (<0.05%)
2024,TX,state_total,11388674,11388674,0,0,254,ok (<0.05%)
2024,UT,state_total,1488494,1488494,0,0,29,ok (<0.05%)
2024,VT,state_total,369422,369422,0,0,14,ok (<0.05%)
2024,VA,state_total,4505941,4482576,-23365,-0.005185376373103864,133,check (0.5-2%)
2024,WA,state_total,3924243,3924243,0,0,39,ok (<0.05%)
2024,WV,state_total,762582,762390,-192,-2.5177620242806676e-4,55,ok (<0.05%)
2024,WI,state_total,3422918,3422918,0,0,72,ok (<0.05%)
2024,WY,state_total,269048,269048,0,0,23,ok (<0.05%)
2000,AL,cand:Bush,941173,944409,3236,0.003438262678593627,NA,small (<0.5%)
2000,AL,cand:Gore,692611,695602,2991,0.004318441376183745,NA,small (<0.5%)
2000,AR,cand:Bush,472940,472940,0,0,NA,ok (<0.05%)
2000,AR,cand:Gore,422768,422768,0,0,NA,ok (<0.05%)
2000,AZ,cand:Bush,781652,781652,0,0,NA,ok (<0.05%)
2000,AZ,cand:Gore,685341,685341,0,0,NA,ok (<0.05%)
2000,CA,cand:Bush,4567429,4567429,0,0,NA,ok (<0.05%)
2000,CA,cand:Gore,5861203,5861203,0,0,NA,ok (<0.05%)
2000,CO,cand:Bush,883748,883745,-3,-3.394632859140841e-6,NA,ok (<0.05%)
2000,CO,cand:Gore,738227,738227,0,0,NA,ok (<0.05%)
2000,CT,cand:Bush,561094,561094,0,0,NA,ok (<0.05%)
2000,CT,cand:Gore,816015,816015,0,0,NA,ok (<0.05%)
2000,DE,cand:Bush,137288,137288,0,0,NA,ok (<0.05%)
2000,DE,cand:Gore,180068,180068,0,0,NA,ok (<0.05%)
2000,FL,cand:Bush,2912790,2911215,-1575,-5.407186923877108e-4,NA,small (<0.5%)
2000,FL,cand:Gore,2912253,2911417,-836,-2.8706297152067487e-4,NA,ok (<0.05%)
2000,GA,cand:Bush,1419720,1419720,0,0,NA,ok (<0.05%)
2000,GA,cand:Gore,1116230,1116230,0,0,NA,ok (<0.05%)
2000,IA,cand:Bush,634373,634373,0,0,NA,ok (<0.05%)
2000,IA,cand:Gore,638517,638517,0,0,NA,ok (<0.05%)
2000,ID,cand:Bush,336937,336937,0,0,NA,ok (<0.05%)
