year,state_po,district,off_total,off_dem,off_rep,our_dem,our_rep,our_total,n_counties,rel_tot,rel_dem,rel_rep,status_tot
1990,CA,13,167646,97286,59773,97286,59773,167646,1,0,0,0,ok (<0.05%)
1990,CA,14,248781,0,128039,120742,128039,248781,10,0,NA,0,ok (<0.05%)
1990,CA,15,146781,97147,49634,97147,49634,146781,4,0,0,0,ok (<0.05%)
1990,CA,16,181002,134236,39885,134236,39885,181002,4,0,0,0,ok (<0.05%)
1990,CA,17,151459,82611,68848,82611,68848,151459,4,0,0,0,ok (<0.05%)
1990,CA,19,173245,76991,94599,76991,94599,173245,2,0,0,0,ok (<0.05%)
1990,CA,20,188925,65101,112962,65101,112962,188925,4,0,0,0,ok (<0.05%)
1990,CA,21,202611,68921,118326,68921,118326,202611,2,0,0,0,ok (<0.05%)
1990,CA,22,180929,61630,108634,61630,108634,180929,1,0,0,0,ok (<0.05%)
1990,CA,23,167093,103141,57118,103141,57118,167093,1,0,0,0,ok (<0.05%)
1990,CA,24,103875,71562,26607,71562,26607,103875,1,0,0,0,ok (<0.05%)
1990,CA,25,68717,48120,17021,48120,17021,68717,1,0,0,0,ok (<0.05%)
1990,CA,26,127791,78031,44492,78031,44492,127791,1,0,0,0,ok (<0.05%)
1990,CA,27,156098,90857,58140,90857,58140,156098,1,0,0,0,ok (<0.05%)
1990,CA,28,95600,69482,21245,69482,21245,95600,1,0,0,0,ok (<0.05%)
1990,CA,29,64672,0,12054,51350,12054,64672,1,0,NA,0,ok (<0.05%)
1990,CA,30,78083,45456,28914,45456,28914,78083,1,0,0,0,ok (<0.05%)
1990,CA,31,83987,56394,0,56394,27593,83987,1,0,0,NA,ok (<0.05%)
1990,CA,32,110960,68268,42692,68268,42692,110960,1,0,0,0,ok (<0.05%)
1990,CA,33,159157,49981,101336,49981,101336,159157,1,0,0,0,ok (<0.05%)
1990,CA,34,91670,55646,36024,55646,36024,91670,1,0,0,0,ok (<0.05%)
1990,CA,35,200722,66100,121602,66100,121602,200722,2,0,0,0,ok (<0.05%)
1990,CA,36,137370,72409,64961,72409,64961,137370,2,0,0,0,ok (<0.05%)
1990,CA,37,232082,103961,115469,103961,115469,232082,1,0,0,0,ok (<0.05%)
1990,CA,38,104254,43693,60561,43693,60561,104254,2,0,0,0,ok (<0.05%)
1990,CA,39,174228,53670,113849,53670,113849,174228,1,0,0,0,ok (<0.05%)
1990,CA,40,210386,68087,142299,68087,142299,210386,1,0,0,0,ok (<0.05%)
1990,CA,41,214737,93586,105723,93586,105723,214737,1,0,0,0,ok (<0.05%)
1990,CA,42,184286,67189,109353,67189,109353,184286,2,0,0,0,ok (<0.05%)
1990,CA,43,222138,0,151206,0,151206,222138,2,0,NA,0,ok (<0.05%)
1990,CA,44,108711,48712,50377,48712,50377,108711,1,0,0,0,ok (<0.05%)
1990,CA,45,169659,0,123591,0,123591,169659,2,0,NA,0,ok (<0.05%)
1990,CO,01,128978,82176,46802,NA,NA,NA,NA,NA,NA,NA,MISSING
1990,CO,02,173474,105248,68226,NA,NA,NA,NA,NA,NA,NA,MISSING
1990,CO,03,177363,124487,49961,NA,NA,NA,NA,NA,NA,NA,MISSING
1990,CO,04,165186,75901,89285,NA,NA,NA,NA,NA,NA,NA,MISSING
1990,CO,05,192277,57776,127740,NA,NA,NA,NA,NA,NA,NA,MISSING
1990,CO,06,163273,57961,105312,NA,NA,NA,NA,NA,NA,NA,MISSING
1990,CT,02,176015,105085,70922,NA,NA,NA,NA,NA,NA,NA,MISSING
1990,CT,03,174212,0,174212,NA,NA,NA,NA,NA,NA,NA,MISSING
1990,CT,04,138068,32352,105682,NA,NA,NA,NA,NA,NA,NA,MISSING
1990,CT,05,181608,85803,93912,NA,NA,NA,NA,NA,NA,NA,MISSING
1990,CT,06,189733,48628,141105,NA,NA,NA,NA,NA,NA,NA,MISSING
1990,FL,01,169267,88416,80851,NA,NA,NA,NA,NA,NA,NA,MISSING
1990,FL,02,180971,103032,77939,NA,NA,NA,NA,NA,NA,NA,MISSING
1990,FL,03,116007,84280,31727,NA,NA,NA,NA,NA,NA,NA,MISSING
1990,FL,04,216228,95320,120895,NA,NA,NA,NA,NA,NA,NA,MISSING
1990,FL,05,157706,63253,94453,NA,NA,NA,NA,NA,NA,NA,MISSING
1990,FL,06,234029,95421,138588,NA,NA,NA,NA,NA,NA,NA,MISSING
1990,FL,07,147229,99464,47765,NA,NA,NA,NA,NA,NA,NA,MISSING
1990,FL,09,244666,102503,142163,NA,NA,NA,NA,NA,NA,NA,MISSING
1990,FL,11,232961,120991,111970,NA,NA,NA,NA,NA,NA,NA,MISSING
1990,FL,14,236304,156055,80249,NA,NA,NA,NA,NA,NA,NA,MISSING
1990,FL,15,106669,0,104295,NA,NA,NA,NA,NA,NA,NA,MISSING
1990,FL,17,101599,79569,22029,NA,NA,NA,NA,NA,NA,NA,MISSING
1990,FL,18,93343,36978,56364,NA,NA,NA,NA,NA,NA,NA,MISSING
1990,FL,19,141492,87696,53796,NA,NA,NA,NA,NA,NA,NA,MISSING
1990,GA,01,113047,80515,32532,80515,32532,113047,20,0,0,0,ok (<0.05%)
1990,GA,02,106691,77910,28781,77910,28781,106691,30,0,0,0,ok (<0.05%)
1990,GA,03,115522,72961,42561,72961,42561,115522,21,0,0,0,ok (<0.05%)
1990,GA,04,184095,96526,87569,96526,87569,184095,4,0,0,0,ok (<0.05%)
1990,GA,05,113818,86037,27781,86037,27781,113818,2,0,0,0,ok (<0.05%)
1990,GA,06,156562,77794,78768,77794,78768,156562,12,0,0,0,ok (<0.05%)
1990,GA,07,159405,0,63588,95817,63588,159405,7,0,NA,0,ok (<0.05%)
1990,GA,08,118324,81344,0,81344,36980,118324,30,0,0,NA,ok (<0.05%)
1990,GA,09,172318,96197,76121,96197,76121,172318,22,0,0,0,ok (<0.05%)
1990,GA,10,153867,89683,64184,89683,64184,153867,15,0,0,0,ok (<0.05%)
1990,ID,01,160460,85054,75406,NA,NA,NA,NA,NA,NA,NA,MISSING
1990,ID,02,154052,99008,56044,NA,NA,NA,NA,NA,NA,NA,MISSING
1990,IL,01,107598,100890,6708,100890,6708,107598,1,0,0,0,ok (<0.05%)
1990,IL,02,102595,80245,22350,80245,22350,102595,1,0,0,0,ok (<0.05%)
1990,IL,03,155811,110512,45299,110512,45299,155811,1,0,0,0,ok (<0.05%)
1990,IL,04,130548,77290,53258,77290,53258,130548,4,0,0,0,ok (<0.05%)
1990,IL,05,111246,0,34440,73805,34440,111246,1,0,NA,0,ok (<0.05%)
1990,IL,06,144565,48155,96410,48155,96410,144565,2,0,0,0,ok (<0.05%)
1990,IL,07,100120,80021,20099,80021,20099,100120,1,0,0,0,ok (<0.05%)
1990,IL,08,88680,70151,0,70151,0,88680,1,0,0,NA,ok (<0.05%)
1990,IL,09,135588,96557,39031,96557,39031,135588,1,0,0,0,ok (<0.05%)
1990,IL,10,153599,47286,104070,47286,104070,153599,2,0,0,0,ok (<0.05%)
1990,IL,11,154245,82703,0,82703,68850,154245,1,0,0,NA,ok (<0.05%)
1990,IL,12,137531,0,113081,0,113081,137531,3,0,NA,0,ok (<0.05%)
