year,state_po,district,off_dem,off_rep,off_sum,off_total,our_dem,our_rep,our_total,n_counties,rel_dem,rel_rep,rel_tot,s_dem,s_rep,s_tot
2004,CT,05,107438,168268,281447,281447,107438,168268,281447,4,0,0,0,ok (<0.05%),ok (<0.05%),ok (<0.05%)
2004,DE,00,105716,245978,356045,356045,105634,245808,355788,3,-7.756630973551781e-4,-6.911187179341242e-4,-7.218188712100999e-4,small (<0.5%),small (<0.5%),small (<0.5%)
2004,FL,01,72506,236604,309110,309110,72506,236604,309110,6,0,0,0,ok (<0.05%),ok (<0.05%),ok (<0.05%)
2004,FL,02,201577,125399,326987,326987,201577,125399,326987,16,0,0,0,ok (<0.05%),ok (<0.05%),ok (<0.05%)
2004,FL,03,174156,0,174156,174156,174156,0,174156,9,0,0,0,ok (<0.05%),ok (<0.05%),ok (<0.05%)
2004,FL,04,0,256157,257327,257327,0,256157,257327,9,0,0,0,ok (<0.05%),ok (<0.05%),ok (<0.05%)
2004,FL,05,124140,240315,364488,364488,124140,240315,364488,8,0,0,0,ok (<0.05%),ok (<0.05%),ok (<0.05%)
2004,FL,06,116680,211137,327853,327853,116680,211137,327853,8,0,0,0,ok (<0.05%),ok (<0.05%),ok (<0.05%)
2004,FL,08,112343,172232,284575,284575,112343,172232,284575,4,0,0,0,ok (<0.05%),ok (<0.05%),ok (<0.05%)
2004,FL,09,0,284035,284278,284278,0,284035,284278,3,0,0,0,ok (<0.05%),ok (<0.05%),ok (<0.05%)
2004,FL,10,91658,207175,298833,298833,91658,207175,298833,1,0,0,0,ok (<0.05%),ok (<0.05%),ok (<0.05%)
2004,FL,11,191780,0,223481,223481,191780,0,223481,3,0,0,0,ok (<0.05%),ok (<0.05%),ok (<0.05%)
2004,FL,12,96965,179204,276169,276169,96965,179204,276169,3,0,0,0,ok (<0.05%),ok (<0.05%),ok (<0.05%)
2004,FL,13,153961,190477,344438,344438,153961,190477,344438,5,0,0,0,ok (<0.05%),ok (<0.05%),ok (<0.05%)
2004,FL,14,108672,226662,335334,335334,108672,226662,335334,3,0,0,0,ok (<0.05%),ok (<0.05%),ok (<0.05%)
2004,FL,15,111538,210388,321926,321926,111538,210388,321926,4,0,0,0,ok (<0.05%),ok (<0.05%),ok (<0.05%)
2004,FL,16,101247,215563,316810,316810,101247,215563,316810,8,0,0,0,ok (<0.05%),ok (<0.05%),ok (<0.05%)
2004,FL,17,178690,0,179424,179424,178690,0,179424,2,0,0,0,ok (<0.05%),ok (<0.05%),ok (<0.05%)
2004,FL,18,78281,143647,221928,221928,78281,143647,221928,2,0,0,0,ok (<0.05%),ok (<0.05%),ok (<0.05%)
2004,FL,20,191195,81213,272408,272408,191195,81213,272408,2,0,0,0,ok (<0.05%),ok (<0.05%),ok (<0.05%)
2004,FL,21,0,146507,201243,201243,0,146507,201243,2,0,0,0,ok (<0.05%),ok (<0.05%),ok (<0.05%)
2004,FL,22,108258,192581,306726,306726,108258,192581,306726,2,0,0,0,ok (<0.05%),ok (<0.05%),ok (<0.05%)
2004,GA,01,0,188347,188347,188347,0,188347,188347,29,0,0,0,ok (<0.05%),ok (<0.05%),ok (<0.05%)
2004,GA,02,129984,64645,194629,194629,129988,64645,194633,27,3.077301821762679e-5,0,2.055192186159308e-5,ok (<0.05%),ok (<0.05%),ok (<0.05%)
2004,GA,03,136273,80435,216708,216708,136273,80435,216708,31,0,0,0,ok (<0.05%),ok (<0.05%),ok (<0.05%)
2004,GA,04,157461,89509,246970,246970,157461,89509,246970,2,0,0,0,ok (<0.05%),ok (<0.05%),ok (<0.05%)
2004,GA,05,201773,0,201773,201773,202216,0,202216,4,0.002195536568321827,0,0.002195536568321827,small (<0.5%),ok (<0.05%),small (<0.5%)
2004,GA,06,0,267542,267619,267619,0,267542,267542,3,0,0,-2.877224711249949e-4,ok (<0.05%),ok (<0.05%),ok (<0.05%)
2004,GA,07,0,258982,258982,258982,0,258982,258982,5,0,0,0,ok (<0.05%),ok (<0.05%),ok (<0.05%)
2004,GA,08,73632,227524,301156,301156,73632,227524,301156,18,0,0,0,ok (<0.05%),ok (<0.05%),ok (<0.05%)
2004,GA,09,68462,197869,266331,266331,68463,197870,266333,26,1.4606643101282463e-5,5.0538487585220525e-6,7.509452523363784e-6,ok (<0.05%),ok (<0.05%),ok (<0.05%)
2004,GA,10,0,219136,219136,219136,0,219136,219136,15,0,0,0,ok (<0.05%),ok (<0.05%),ok (<0.05%)
2004,GA,11,89591,120696,210287,210287,89591,120696,210287,17,0,0,0,ok (<0.05%),ok (<0.05%),ok (<0.05%)
2004,GA,12,113036,105132,218168,218168,113040,105133,218173,14,3.53869563678828e-5,9.511851767302058e-6,2.2918118147482672e-5,ok (<0.05%),ok (<0.05%),ok (<0.05%)
2004,GA,13,170657,0,170657,170657,170657,0,170657,11,0,0,0,ok (<0.05%),ok (<0.05%),ok (<0.05%)
2004,GU,00,31051,0,31051,31888,NA,NA,NA,NA,NA,NA,NA,MISSING,MISSING,MISSING
2004,IA,01,127246,159993,289966,290054,125490,159993,289966,12,-0.01380004086572466,0,-3.0339178221986253e-4,check (0.5-2%),ok (<0.05%),ok (<0.05%)
2004,IA,02,117405,176684,299675,299881,117405,176684,299675,15,0,0,-6.869391525305038e-4,ok (<0.05%),ok (<0.05%),small (<0.5%)
2004,IA,03,168007,136099,304106,304319,168007,136099,304106,12,0,0,-6.999234356054009e-4,ok (<0.05%),ok (<0.05%),small (<0.5%)
2004,IA,04,116121,181294,297415,297566,116121,181294,297415,28,0,0,-5.074504479678458e-4,ok (<0.05%),ok (<0.05%),small (<0.5%)
2004,IA,05,97597,168583,266180,266341,97597,168583,266180,32,0,0,-6.04488231252417e-4,ok (<0.05%),ok (<0.05%),small (<0.5%)
2004,ID,01,90927,207662,298589,298589,90927,207662,298589,19,0,0,0,ok (<0.05%),ok (<0.05%),ok (<0.05%)
2004,ID,02,80133,193704,273837,273837,80133,193704,273837,26,0,0,0,ok (<0.05%),ok (<0.05%),ok (<0.05%)
2004,IL,01,212109,37840,249949,249949,212109,37840,249949,1,0,0,0,ok (<0.05%),ok (<0.05%),ok (<0.05%)
2004,IL,02,207535,0,234525,234525,207535,0,234525,2,0,0,0,ok (<0.05%),ok (<0.05%),ok (<0.05%)
2004,IL,03,167034,57845,229956,229956,167034,57845,229956,1,0,0,0,ok (<0.05%),ok (<0.05%),ok (<0.05%)
2004,IL,04,104761,15536,125142,125142,104761,15536,125142,1,0,0,0,ok (<0.05%),ok (<0.05%),ok (<0.05%)
2004,IL,05,158400,49530,207930,207930,158400,49530,207930,1,0,0,0,ok (<0.05%),ok (<0.05%),ok (<0.05%)
2004,IL,06,110470,139627,250097,250097,110470,139627,250097,2,0,0,0,ok (<0.05%),ok (<0.05%),ok (<0.05%)
2004,IL,07,221133,35603,256736,256736,221133,35603,256736,1,0,0,0,ok (<0.05%),ok (<0.05%),ok (<0.05%)
2004,IL,08,139792,130601,270393,270393,139792,130601,270393,3,0,0,0,ok (<0.05%),ok (<0.05%),ok (<0.05%)
2004,IL,09,175282,56135,231417,231417,175282,56135,231417,1,0,0,0,ok (<0.05%),ok (<0.05%),ok (<0.05%)
2004,IL,10,99218,177493,276711,276711,99218,177493,276711,2,0,0,0,ok (<0.05%),ok (<0.05%),ok (<0.05%)
