year,state_fips,po,district,kind,candidate,party_group,votes,new,method,evidence
1992,6,CA,05,placeholder,Democratic Candidate,DEM,158250,Robert Matsui,vote_total,wikipedia votes 158250
1992,6,CA,05,placeholder,Other Candidate 1,OTHER,13612,Other / write-in candidates,aggregate_label,generic pooled or unnamed row
1992,6,CA,05,placeholder,Republican Candidate,REP,58698,Robert S. Dinsmore,vote_total,wikipedia votes 58698
1992,6,CA,06,placeholder,Democratic Candidate,DEM,190322,Lynn Woolsey,vote_total,wikipedia votes 190322
1992,6,CA,06,placeholder,Other Candidate 2,OTHER,3293,Claude Heater / Louis G. Beary,pooled_minor_sum,sum of 2 wikipedia candidates = 3293
1992,6,CA,06,placeholder,Republican Candidate,REP,98171,Bill Filante,vote_total,wikipedia votes 98171
1992,6,CA,07,placeholder,Democratic Candidate,DEM,153320,George Miller,vote_total,wikipedia votes 153320
1992,6,CA,07,placeholder,Other Candidate 1,OTHER,9840,David L. Franklin,vote_total,wikipedia votes 9840
1992,6,CA,07,placeholder,Republican Candidate,REP,54822,Dave Scholl,vote_total,wikipedia votes 54822
1992,6,CA,08,placeholder,Democratic Candidate,DEM,191906,Nancy Pelosi,vote_total,wikipedia votes 191906
1992,6,CA,08,placeholder,Other Candidate 2,OTHER,15092,Cesar G. Cadabes / James R. Elwood / Michael Goldwater,pooled_minor_sum,sum of 3 wikipedia candidates = 15092
1992,6,CA,08,placeholder,Republican Candidate,REP,25693,Marc Wolin,vote_total,wikipedia votes 25693
1992,6,CA,09,placeholder,Democratic Candidate,DEM,164265,Ronald Dellums,vote_total,wikipedia votes 164265
1992,6,CA,09,placeholder,Other Candidate 1,OTHER,10495,Dave Linn / Omari Musa,pooled_minor_sum,sum of 2 wikipedia candidates = 10495
1992,6,CA,09,placeholder,Republican Candidate,REP,53707,"G. William ""Billy"" Hunter",vote_total,wikipedia votes 53707
1992,6,CA,10,placeholder,Democratic Candidate,DEM,134635,Wendell H. Williams,vote_total,wikipedia votes 134635
1992,6,CA,10,placeholder,Other Candidate 2,OTHER,92,Dave Williams / Valerie Janloia,pooled_minor_sum,sum of 2 wikipedia candidates = 92
1992,6,CA,10,placeholder,Republican Candidate,REP,145702,Bill Baker,vote_total,wikipedia votes 145702
1992,6,CA,11,placeholder,Democratic Candidate,DEM,90539,Patti Garamendi,vote_total,wikipedia votes 90539
1992,6,CA,11,placeholder,Other Candidate 1,OTHER,13498,Christine Roberts,vote_total,wikipedia votes 13498
1992,6,CA,11,placeholder,Republican Candidate,REP,94453,Richard Pombo,vote_total,wikipedia votes 94453
1992,6,CA,12,placeholder,Democratic Candidate,DEM,157205,Tom Lantos,vote_total,wikipedia votes 157205
1992,6,CA,12,placeholder,Other Candidate 2,OTHER,17924,Mary Weldon / George L. O'Brien,pooled_minor_sum,sum of 2 wikipedia candidates = 17924
1992,6,CA,12,placeholder,Republican Candidate,REP,53278,Jim R. Tomlin,vote_total,wikipedia votes 53278
1992,6,CA,13,placeholder,Democratic Candidate,DEM,123795,Pete Stark,vote_total,wikipedia votes 123795
1992,6,CA,13,placeholder,Other Candidate 1,OTHER,16768,Roslyn A. Allen,vote_total,wikipedia votes 16768
1992,6,CA,13,placeholder,Republican Candidate,REP,64953,Verne W. Teyler,vote_total,wikipedia votes 64953
1992,6,CA,14,placeholder,Democratic Candidate,DEM,146873,Anna Eshoo,vote_total,wikipedia votes 146873
1992,6,CA,14,placeholder,Other Candidate 1,OTHER,11147,Other / write-in candidates,aggregate_label,generic pooled or unnamed row
1992,6,CA,14,placeholder,Republican Candidate,REP,101202,Tom Huening,vote_total,wikipedia votes 101202
1992,6,CA,15,placeholder,Democratic Candidate,DEM,168617,Norm Mineta,vote_total,wikipedia votes 168617
1992,6,CA,15,placeholder,Other Candidate 1,OTHER,13878,Duggan Dieterly / Bill Futrell,pooled_minor_sum,sum of 2 wikipedia candidates = 13878
1992,6,CA,15,placeholder,Republican Candidate,REP,82875,Robert Wick,vote_total,wikipedia votes 82875
1992,6,CA,16,placeholder,Democratic Candidate,DEM,96661,Don Edwards,vote_total,wikipedia votes 96661
1992,6,CA,16,placeholder,Other Candidate 1,OTHER,9379,Other / write-in candidates,aggregate_label,generic pooled or unnamed row
1992,6,CA,16,placeholder,Republican Candidate,REP,49843,Ted Bundesen,vote_total,wikipedia votes 49843
1992,6,CA,17,placeholder,Democratic Candidate,DEM,151565,Leon Panetta,vote_total,wikipedia votes 151565
1992,6,CA,17,placeholder,Other Candidate 2,OTHER,8855,Maureen Smith / John D. Wilkes,pooled_minor_sum,sum of 2 wikipedia candidates = 8855
1992,6,CA,17,placeholder,Republican Candidate,REP,49947,Bill McCampbell,vote_total,wikipedia votes 49947
1992,6,CA,18,placeholder,Democratic Candidate,DEM,139704,Gary Condit,vote_total,wikipedia votes 139704
1992,6,CA,18,placeholder,Other Candidate 1,OTHER,25307,Kim R. Almstrom,vote_total,wikipedia votes 25307
1992,6,CA,18,placeholder,Republican Candidate,REP,0,NA,unmatched,NA
1992,6,CA,19,placeholder,Democratic Candidate,DEM,101619,Richard Lehman,vote_total,wikipedia votes 101619
1992,6,CA,19,placeholder,Other Candidate 1,OTHER,14431,"Dorothy L. Wells / James E. Williams, Jr.",pooled_minor_sum,sum of 2 wikipedia candidates = 14431
1992,6,CA,19,placeholder,Republican Candidate,REP,100590,Tal L. Cloud,vote_total,wikipedia votes 100590
1992,6,CA,20,placeholder,Democratic Candidate,DEM,72679,Cal Dooley,vote_total,wikipedia votes 72679
1992,6,CA,20,placeholder,Republican Candidate,REP,39388,Ed Hunt,vote_total,wikipedia votes 39388
1992,6,CA,21,placeholder,Democratic Candidate,DEM,68058,Deborah A. Vollmer,vote_total,wikipedia votes 68058
1992,6,CA,21,placeholder,Other Candidate 1,OTHER,149,Mike Hodges,vote_total,wikipedia votes 149
1992,6,CA,21,placeholder,Republican Candidate,REP,127758,Bill Thomas,vote_total,wikipedia votes 127758
1992,6,CA,22,placeholder,Democratic Candidate,DEM,87328,Gloria Ochoa,vote_total,wikipedia votes 87328
1992,6,CA,22,placeholder,Other Candidate 2,OTHER,31354,Other / write-in candidates,aggregate_label,generic pooled or unnamed row
1992,6,CA,22,placeholder,Republican Candidate,REP,131242,Michael Huffington,vote_total,wikipedia votes 131242
1992,6,CA,23,placeholder,Democratic Candidate,DEM,88225,Anita Perez Ferguson,vote_total,wikipedia votes 88225
1992,6,CA,23,placeholder,Other Candidate 1,OTHER,9152,"Jay C. Wood / Edward L. Dunbar, Jr.",pooled_minor_sum,sum of 2 wikipedia candidates = 9152
1992,6,CA,23,placeholder,Republican Candidate,REP,115504,Elton Gallegly,vote_total,wikipedia votes 115504
1992,6,CA,24,placeholder,Democratic Candidate,DEM,141742,Anthony C. Beilenson,vote_total,wikipedia votes 141742
1992,6,CA,24,placeholder,Other Candidate 1,OTHER,13690,John Paul Lindblad,vote_total,wikipedia votes 13690
1992,6,CA,24,placeholder,Republican Candidate,REP,99835,Tom McClintock,vote_total,wikipedia votes 99835
1992,6,CA,25,placeholder,Democratic Candidate,DEM,72233,James H. Gilmartin,vote_total,wikipedia votes 72233
1992,6,CA,25,placeholder,Other Candidate 3,OTHER,32871,Other / write-in candidates,aggregate_label,generic pooled or unnamed row
1992,6,CA,25,placeholder,Republican Candidate,REP,113611,Howard McKeon,vote_total,wikipedia votes 113611
1992,6,CA,26,placeholder,Democratic Candidate,DEM,73807,Howard Berman,vote_total,wikipedia votes 73807
1992,6,CA,26,placeholder,Other Candidate 2,OTHER,10648,Margery Hinds / Bernard Zimring,pooled_minor_sum,sum of 2 wikipedia candidates = 10648
1992,6,CA,26,placeholder,Republican Candidate,REP,36453,Gary E. Forsch,vote_total,wikipedia votes 36453
1992,6,CA,27,placeholder,Democratic Candidate,DEM,83805,Doug Kahn,vote_total,wikipedia votes 83805
1992,6,CA,27,placeholder,Other Candidate 3,OTHER,23124,Other / write-in candidates,aggregate_label,generic pooled or unnamed row
1992,6,CA,27,placeholder,Republican Candidate,REP,105521,Carlos J. Moorhead,vote_total,wikipedia votes 105521
1992,6,CA,28,placeholder,Democratic Candidate,DEM,76525,Al Wachtel,vote_total,wikipedia votes 76525
1992,6,CA,28,placeholder,Other Candidate 2,OTHER,10504,Walt Contreras Sheasby / Thomas J. Dominy,pooled_minor_sum,sum of 2 wikipedia candidates = 10504
1992,6,CA,28,placeholder,Republican Candidate,REP,122353,David Dreier,vote_total,wikipedia votes 122353
1992,6,CA,29,placeholder,Democratic Candidate,DEM,160312,Henry Waxman,vote_total,wikipedia votes 160312
1992,6,CA,29,placeholder,Other Candidate 3,OTHER,34033,Other / write-in candidates,aggregate_label,generic pooled or unnamed row
1992,6,CA,29,placeholder,Republican Candidate,REP,67141,Mark Robbins,vote_total,wikipedia votes 67141
