state,cd,year,total_vote,rep_vote,rep_candidate,dem_vote,dem_candidate,other_vote,plurality_vote,plurality_party,source_volume,confidence
COLORADO,2,2014,2014.0,345945.0,"LEING, GEORGE",149645.0,"POLIS, JARED*",,46655.0,D,31,low
COLORADO,2,2012,2012.0,421580.0,"LUNDBERG, KEVIN",162639.0,"POLIS, JARED*",,72119.0,D,31,low
COLORADO,3,2014,2014.0,281141.0,"TIPTON, SCOTT R.*",163011.0,"TAPIA, ABEL",,62647.0,R,31,low
COLORADO,3,2012,2012.0,347574.0,"TIPTON, SCOTT R.*",185291.0,"PACE, SAL",,42371.0,R,31,low
COLORADO,4,2014,2014.0,286507.0,"BUCK, KEN",185292.0,"MEYERS, VIC",,101565.0,R,31,low
COLORADO,4,2012,2012.0,342336.0,"GARDNER, CORY*",200006.0,"SHAFFER, BRANDON",,74206.0,R,31,low
COLORADO,5,2014,2014.0,262855.0,"LAMBORN, DOUG*",157182.0,"HALTER JR., IRVING LESLIE IRV",,51509.0,R,31,low
COLORADO,5,2012,2012.0,307237.0,"LAMBORN, DOUG*",199639.0,,,199639.0,R,31,low
COLORADO,6,2014,2014.0,276440.0,"COFFMAN, MIKE*",143467.0,"ROMANOFF, ANDREW",,24620.0,R,31,low
COLORADO,6,2012,2012.0,342914.0,"COFFMAN, MIKE*",163938.0,"MIKLOSI, JOE",,7001.0,R,31,low
COLORADO,7,2014,2014.0,269143.0,"YTTERBERG, DON",120918.0,"PERLMUTTER, ED*",,27307.0,D,31,low
COLORADO,7,2012,2012.0,340970.0,"COORS, JOE",139066.0,"PERLMUTTER, ED*",,43394.0,D,31,low
FLORIDA,1,2014,14.0,235343.0,eee,165086.0,"MILLER, JEFF*",,110110.0,R,31,low
FLORIDA,1,2012,1.0,342594.0,AOI,238440.0,"MILLER, JEFF*",,145479.0,R,31,low
FLORIDA,2,2014,2014.0,249780.0,"SOUTHERLAND, STEVE*",123262.0,"GRAHAM, GWEN",,2834.0,D,31,low
FLORIDA,2,2012,22012.0,333718.0,"SOUTHERLAND, STEVE*",175856.0,"LAWSON, AL",,18222.0,R,31,low
FLORIDA,3,2014,2014.0,228809.0,"YOHO, TED S.*",148691.0,"WHEELER, MARIHELEN HADDOCK",,74781.0,R,31,low
FLORIDA,3,2012,2012.0,315669.0,Bee,204331.0,"YOHO, TED S.",,101863.0,R,31,low
FLORIDA,4,2014,2014.0,227253.0,"CRENSHAW, ANDER*",177887.0,,,177887.0,R,31,low
FLORIDA,4,2012,2012.0,315470.0,"CRENSHAW, ANDER*",239988.0,,,239988.0,R,31,low
FLORIDA,5,2014,2014.0,112340.0,See,53103.0,"WAVE          SSA      SCURRYSMITH, GLOREATHA GLO",,53103.0,D,31,low
FLORIDA,5,2012,269153.0,70700.0,. ANP,190472.0,"KOLB, LEANNE",,119772.0,D,31,low
FLORIDA,6,2014,2014.0,265817.0,"DESANTIS, RON*",166254.0,"COX, DAVID",,66691.0,R,31,low
FLORIDA,6,2012,2012.0,342451.0,"DESANTIS, RON",195962.0,"BEAVEN, HEATHER",,,,31,low
FLORIDA,7,2014,14.0,227164.0,eZ,144474.0,"MICA, JOHN L.*",,71463.0,R,31,low
FLORIDA,7,2012,2012.0,316010.0,"MICA, JOHN L.*",185518.0,"KENDALL, JASON H.",,55039.0,R,31,low
FLORIDA,8,2014,2014.0,274513.0,"POSEY, BILL*",180728.0,"ROTHBLATT, GABRIEL",,87004.0,R,31,low
FLORIDA,8,2012,2012.0,348909.0,"POSEY, BILL*",205432.0,"ROBERTS, SHANNON",,74562.0,R,31,low
FLORIDA,9,2014,2014.0,173878.0,"PLATT, CAROL",74963.0,"GRAYSON, ALAN*",,18887.0,D,31,low
FLORIDA,9,2012,20.0,263747.0,Omer,98856.0,"LONG, TODD",,66035.0,D,31,low
FLORIDA,10,2014,10.0,2014.0,"WEBSTER, DANIEL*",232574.0,"MCKENNA, MICHAEL PATRICK",,53702.0,R,31,low
FLORIDA,10,2012,10.0,2012.0,"WEBSTER, DANIEL*",318269.0,"DEMINGS, VAL B.",,11075.0,R,31,low
FLORIDA,11,2014,11.0,2014.0,"NUGENT, RICHARD B.*",272294.0,"KOLLER, DAVID C.",,90722.0,R,31,low
FLORIDA,11,2012,2012.0,338663.0,ee,218360.0,"NUGENT, RICHARD B.*",,98057.0,R,31,low
FLORIDA,12,2014,12.0,2012.0,"BILIRAKIS, GUS M.*",330167.0,"SNOW, JONATHAN MICHAEL",,100834.0,R,31,low
FLORIDA,12,2012,13.0,2014.0,"JOLLY, DAVID W.*",223576.0,,,168172.0,R,31,low
FLORIDA,13,2014,2012.0,329347.0,Bae,189605.0,"YOUNG, C.W. BILL*",,49863.0,R,31,low
FLORIDA,13,2012,14.0,2012.0,"OTERO, EVELIO E",280601.0,"CASTOR, KATHY*",,113641.0,D,31,low
FLORIDA,14,2014,15.0,2014.0,"ROSS, DENNIS A.*",213582.0,"COHN, ALAN MICHAEL",,43918.0,R,31,low
FLORIDA,14,2012,16.0,2014.0,"BUCHANAN, VERN*",274829.0,"LAWRENCE, HENRY",,63643.0,R,31,low
FLORIDA,15,2014,16.0,2012.0,"BUCHANAN, VERN*",349076.0,"FITZGERALD, KEITH",,25218.0,R,31,low
FLORIDA,15,2012,82263.0,59230.0,"BRONSON, WILLIAM",63.0,,,59230.0,R,31,low
FLORIDA,16,2014,116766.0,17.0,"BRONSON, WILLIAM",48722.0,,,48722.0,R,31,low
FLORIDA,16,2012,18.0,2014.0,"DOMINO, CARLJ.",253374.0,"MURPHY, PATRICK*",,49582.0,D,31,low
FLORIDA,17,2014,18.0,2012.0,"WEST, ALLEN*",330665.0,"MURPHY, PATRICK",,1904.0,D,31,low
FLORIDA,17,2012,19.0,2014.0,"CLAWSON, CURT*",246861.0,"FREEMAN, APRIL",,78530.0,R,31,low
FLORIDA,18,2014,19.0,2012.0,"RADEL, TREY",306216.0,"ROACH, JIM",,80087.0,R,31,low
FLORIDA,18,2012,20.0,2014.0,"BONNER, JAY",157466.0,"HASTINGS, ALCEE L.*",,,,31,low
FLORIDA,19,2014,20.0,2012.0,"HASTINGS, ALCEE L.*",244.0,,,214727.0,D,31,low
FLORIDA,19,2012,2014.0,153970.0,"DEUTCH, Theodore E.*",153395.0,,,153395.0,D,31,low
FLORIDA,20,2014,2012.0,284400.0,"DEUTCH, Theodore E.*",221263.0,,,221263.0,D,31,low
FLORIDA,20,2012,22.0,2014.0,"SPAIN, PAUL DOUGLAS",216096.0,"FRANKEL, LOIS*                              ii",,34719.0,D,31,low
